bp_id,ls_id,name_ls,name_bp,Match,Repeated_bp,URL
112459,1188,Charles K Gifford,CHARLES GIFFORD,Trustee,Yes,
295562,1483,Ronald L Sargent,RONALD L SARGENT,Trustee,,
252548,2898,Sy Sternberg,SY STERNBERG,Board of Directors,,
946922,3709,Joseph M Tucci,JOSEPH TUCCI,Board of Directors,,
946900,4154,Carole J Uhrich Shapazian,CAROLE SHAPAZIAN,Trustee,,
946915,4906,Edmond J English,EDMOND J ENGLISH,"Trustee, Alumni",,
332965,7994,Deborah Dunsire,DEBORAH DUNSIRE,Trustee,,
178721,9196,M William Howard Jr,WILLIAM HOWARD,X,Yes,
178721,9725,William Howard Powell,WILLIAM HOWARD,X,Yes,
946905,10478,Henry Nasella,HENRY NASELLA,Board of Directors,,
178721,12074,William G Howard Jr,WILLIAM HOWARD,X,Yes,
205233,14530,William Ross Cotter,WILLIAM COTTER,"Trustee, Alumni",,https://nuhuskies.com/honors/varsity-club-hall-of-fame/bill-cotter/247
110465,38207,James J Pallotta,JAMES PALLOTTA,"Trustee, Alumni",,
946927,301149,Mary Loeffelholz,MARY LOEFFELHOLZ,CPS Faculty,,
165789,47798,Ralph Martin II,RALPH C MARTIN,General Counsel,,https://www.childrenshospital.org/about-us/our-leadership/board-of-trustees/ralph-martin
510314,47904,Joseph E Aoun,JOSEPH AOUN,President,,
182465,320523,Ian Peter Cameron,PETER CAMERON,X,,
899131,65189,David L House,DAVID HOUSE,Trustee,,
112459,68713,Charles H Gifford,CHARLES GIFFORD,X,Yes,
178721,331170,William Howard Morris,WILLIAM HOWARD,X,Yes,
178721,333394,William H. Howard,WILLIAM HOWARD,X,Yes,
100212,74901,Marcy Reed,REED MARCY,Board of Directors,,http://newsroom.bluecrossma.com/Reed
946931,78222,Jeffrey S Bornstein,JEFFREY S BORNSTEIN,Trustee,,
178721,78762,William Howard Taft,WILLIAM HOWARD,X,Yes,
946910,90005,Christopher Viehbacher,CHRISTOPHER A VIEHBACHER,Trustee,,
946948,90906,Robert Shillman,ROBERT SHILLMAN,"Trustee, Alumni",,
818437,308781,Jeannine P Sargent,JEANNINE SARGENT,Trustee,,http://investors.cypress.com/board-directors/jeannine-sargent
946941,99674,Jeffrey Clarke,JEFFREY J CLARKE,"Trustee, Alumni",,https://en.wikipedia.org/wiki/Jeff_Clarke_(businessman)
946903,112742,Michael J Zamkow,MICHAEL ZAMKOW,Trustee,,
946906,114523,Richard D'Amore,RICHARD A D'AMORE,Trustee,,
945443,114525,Alan McKim,ALAN MCKIM,Trustee,,
946904,124207,Lucian Grainge,LUCIAN GRAINGE,Trustee,,
946919,133530,William Cowan,WILLIAM M COWAN,"Trustee, Alumni",,https://en.wikipedia.org/wiki/Mo_Cowan
44706,133893,William A Lowell,WILLIAM A LOWELL,Trustee,,https://www.choate.com/images/content/2/9/v4/29987/Lowell-William-Bio.pdf
205233,162652,William R Cotter,WILLIAM COTTER,X,,
946902,193856,Nonnie Burnes,NONNIE S BURNES,"Trustee, Alumni",,
